Tested Params: nbRoots and ratioDeletedRoots. Trainings lead on MNIST with default Kelly parameters on 300 generations. With seed : 1, 2 and 3.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Training;nbRoots;ratioDeletedRoots;Score 1;Score 2;Score 3;Score 4;Score 5;Score 6;Score 7;Score 8;Moyenne;Gen 1;Gen 2;Gen 3;Gen 4;Gen 5;Gen 6;Gen 7;Gen 8;Moyenne;Temps
1;1;0.01;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;31
2;1;0.1;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;23
3;1;0.3;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;23
4;1;0.5;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;23
5;1;0.7;10,01;10;10;10;10;10;10;10;10,00;0;299;299;299;299;299;299;299;261,63;14
6;1;0.8;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
7;1;0.85;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
8;1;0.9;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;12
9;1;0.95;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
10;1;0.99;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
11;5;0.01;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;28
12;5;0.1;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;23
13;5;0.3;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;23
14;5;0.5;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;23
15;5;0.7;10,01;10;10;10;10;10;10;10;10,00;0;299;299;299;299;299;299;299;261,63;14
16;5;0.8;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;12
17;5;0.85;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
18;5;0.9;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;12
19;5;0.95;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
20;5;0.99;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;13
21;10;0.01;10,01;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;24
22;10;0.1;10,01;10;10;10;10;10;10;10;10,00;299;3;299;299;299;299;299;299;262,00;24
23;10;0.3;10,01;10;10,69;10;10;10;10;10;10,09;1;299;14;299;299;299;299;299;226,13;18
24;10;0.5;10,01;10;10;10,69;10;10;10;10;10,09;5;299;299;2;299;299;299;299;225,13;14
25;10;0.7;10,01;10;10;10,69;10;10,69;10,69;10,69;10,35;1;299;299;4;299;3;3;3;113,88;15
26;10;0.8;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;14
27;10;0.85;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;14
28;10;0.9;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;21
29;10;0.95;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;21
30;10;0.99;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;21
31;30;0.01;10;10;10;10;10;10;10;10;10,00;299;299;299;299;299;299;299;299;299,00;28
32;30;0.1;21,12;13,85;17,56;16,03;26,19;22,52;11,29;15,27;17,98;237;299;294;67;299;256;32;161;205,63;53
